full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,da_dt,SNR,FAccept
525268 (2004 XL14),20525268.0,1,1,0.76,0.41,21.5,0.448,1.07,242.0,1.49,78.2,21.43,,,,-0.00103783,3.41557,1
86666 (2000 FL10),20086666.0,1,0,1.46,0.427,29.0,0.838,2.09,646.0,0.557,224.0,16.88,1.165,0.228,206.0,-0.000836855,3.4153,1
3671 Dionysus (1984 KD),20003671.0,1,1,2.2,0.544,13.5,1.0,3.39,1190.0,0.303,252.0,16.49,1.5,0.16,2.7053,-0.00712183,3.41358,1
(2000 AH205),3092248.0,1,0,1.15,0.407,2.59,0.681,1.61,449.0,0.802,96.7,22.6,,,,-0.00153447,3.41308,1
508908 (2003 YX1),20508908.0,1,1,0.88,0.267,5.76,0.645,1.11,301.0,1.19,315.0,20.95,,,,-0.00134479,3.39795,1
136897 (1998 HJ41),20136897.0,1,0,1.36,0.125,38.9,1.19,1.53,581.0,0.619,22.3,18.56,,,15.3,-0.00371471,3.38712,1
(2003 GH21),3152315.0,1,0,1.48,0.262,20.1,1.09,1.87,659.0,0.546,219.0,21.59,,,,-0.00177739,3.38656,1
329275 (1999 VP6),20329275.0,1,0,1.38,0.304,12.8,0.959,1.8,591.0,0.609,63.1,20.1,,,,-0.000393206,3.3848,1
161989 Cacus (1978 CA),20161989.0,1,1,1.12,0.214,26.1,0.883,1.36,434.0,0.829,310.0,17.31,1.9,0.09,3.7538,-0.00841304,3.37712,1
(2016 UW80),3762440.0,1,0,1.16,0.169,13.0,0.967,1.36,459.0,0.784,346.0,23.91,,,,-0.0115421,3.3722,0
216115 (2006 SU19),20216115.0,1,1,1.53,0.587,2.09,0.631,2.42,689.0,0.522,302.0,18.91,,,,-0.00141857,3.37156,1
398188 Agni (2010 LE15),20398188.0,1,1,0.865,0.273,13.3,0.628,1.1,294.0,1.23,253.0,19.33,0.462,0.137,21.99,-0.00911138,3.37012,0
90373 (2003 SZ219),20090373.0,1,0,1.63,0.204,9.87,1.29,1.96,758.0,0.475,227.0,18.8,,,,0.01438,3.36824,1
(2017 DN109),3770288.0,1,1,1.2,0.827,7.09,0.207,2.18,478.0,0.754,289.0,21.82,,,,-0.0119569,3.36493,0
370307 (2002 RH52),20370307.0,1,0,1.98,0.491,16.2,1.01,2.95,1020.0,0.354,74.1,16.97,,,4.218,0.00182211,3.36132,1
313276 (2002 AX1),20313276.0,1,0,0.88,0.542,33.0,0.403,1.36,301.0,1.19,69.7,19.86,,,131.0,0.00105336,3.36073,1
452376 (2002 AC5),20452376.0,1,1,1.76,0.494,16.5,0.891,2.63,853.0,0.422,99.3,19.97,,,,-0.0193932,3.35461,0
864101 (2014 WL368),20864101.0,1,0,1.67,0.235,7.95,1.28,2.06,787.0,0.457,57.1,19.63,,,,-0.00380405,3.34315,1
474163 (1999 SO5),20474163.0,1,1,1.09,0.0645,13.4,1.02,1.16,413.0,0.872,203.0,20.81,,,1.38,-0.000964578,3.34311,1
138911 (2001 AE2),20138911.0,1,0,1.35,0.0817,1.66,1.24,1.46,573.0,0.629,211.0,19.44,,,15.88,-0.00508622,3.3397,0
10145 (1994 CK1),20010145.0,1,0,1.9,0.633,4.55,0.698,3.1,957.0,0.376,139.0,17.0,,,49.2892,-0.012433,3.3351,0
354030 (2001 RB18),20354030.0,1,0,2.35,0.539,4.18,1.08,3.61,1310.0,0.274,253.0,18.61,,,26.755,-0.000246517,3.3316,1
7341 (1991 VK),20007341.0,1,1,1.84,0.506,5.41,0.91,2.77,913.0,0.394,196.0,16.96,0.982,0.235,4.2096,-0.00147734,3.33032,1
286079 (2001 TW1),20286079.0,1,0,0.911,0.526,31.3,0.432,1.39,318.0,1.13,349.0,19.29,,,,-0.00698525,3.31076,1
(2007 US12),3390647.0,1,0,0.906,0.515,8.8,0.44,1.37,315.0,1.14,66.5,22.13,,,,-0.00179163,3.31039,1
137924 (2000 BD19),20137924.0,1,0,0.876,0.895,25.8,0.092,1.66,300.0,1.2,333.0,17.5,0.97,0.247,10.57,-0.00392973,3.30966,0
162825 (2001 BO61),20162825.0,1,1,1.77,0.744,9.07,0.453,3.09,862.0,0.417,146.0,17.97,,,,-0.00651399,3.30553,0
524196 (2001 QP181),20524196.0,1,0,2.24,0.53,4.52,1.05,3.43,1220.0,0.294,106.0,18.71,,,17.05,0.00554995,3.29183,0
106589 (2000 WN107),20106589.0,1,0,2.15,0.618,14.4,0.82,3.47,1150.0,0.314,279.0,16.01,,,141.1,-3.32158,3.29125,0
(2010 KQ10),3523945.0,1,1,2.38,0.662,6.7,0.805,3.96,1340.0,0.268,99.8,21.64,,,,-0.000619167,3.28941,1
1865 Cerberus (1971 UA),20001865.0,1,0,1.08,0.467,16.1,0.576,1.58,410.0,0.878,320.0,16.78,1.2,0.22,6.8039,0.00202891,3.28727,1
369986 (1998 SO),20369986.0,1,0,0.731,0.699,30.3,0.22,1.24,228.0,1.58,348.0,20.44,,,,-0.10178,3.27621,0
(2009 SW19),3467709.0,1,0,1.26,0.328,62.9,0.849,1.68,518.0,0.695,251.0,19.61,,,,-0.0122066,3.27421,1
(2007 TH1),3387458.0,1,1,1.36,0.418,20.1,0.793,1.93,580.0,0.62,183.0,21.88,,,,-0.00148068,3.26311,1
154300 (2002 UO),20154300.0,1,0,1.21,0.473,8.29,0.638,1.78,486.0,0.741,189.0,19.37,,,,-0.0211736,3.25349,1
209215 (2003 WP25),20209215.0,1,0,0.989,0.121,2.56,0.869,1.11,359.0,1.0,269.0,24.3,,,,-0.00965044,3.25157,1
441823 (2009 QO5),20441823.0,1,0,1.6,0.238,8.56,1.22,1.98,736.0,0.489,23.9,22.11,,,,-0.00274995,3.24684,1
(2017 JF3),3774612.0,1,1,0.906,0.349,5.82,0.59,1.22,315.0,1.14,198.0,21.74,,,,0.148545,3.2447,0
(2003 AC23),3145520.0,1,1,2.17,0.582,2.06,0.908,3.43,1170.0,0.308,39.7,21.9,,,,-0.00578465,3.24159,0
23548 (1994 EF2),20023548.0,1,0,2.29,0.518,23.4,1.1,3.48,1270.0,0.285,67.0,17.28,,,,-0.00137484,3.2244,1
338292 (2002 UA31),20338292.0,1,0,0.799,0.487,30.7,0.41,1.19,261.0,1.38,277.0,19.11,,,2.5564,-0.0418094,3.22357,1
(2013 KS1),3638576.0,1,0,1.48,0.387,1.63,0.904,2.05,654.0,0.55,320.0,26.82,,,,0.000738005,3.22138,1
4660 Nereus (1982 DB),20004660.0,1,1,1.48,0.359,1.45,0.952,2.02,661.0,0.545,49.8,18.75,0.33,0.55,15.1749,0.691437,3.2155,0
(2007 GU4),3373918.0,1,0,1.2,0.457,3.16,0.654,1.75,482.0,0.747,93.0,22.65,,,,-0.00114183,3.20801,1
443837 (2000 TJ1),20443837.0,1,0,1.16,0.0808,39.5,1.07,1.25,457.0,0.788,158.0,19.68,0.253,0.399,14.09,-0.00280752,3.20745,1
323300 (2003 UD22),20323300.0,1,0,1.17,0.318,10.1,0.797,1.54,461.0,0.78,240.0,19.63,,,,-0.00962163,3.20149,1
(2008 SZ150),3428532.0,1,0,1.41,0.33,13.1,0.944,1.87,611.0,0.589,119.0,24.02,,,,-0.0047431,3.19703,1
173664 (2001 JU2),20173664.0,1,0,1.52,0.269,4.02,1.11,1.93,683.0,0.527,337.0,19.76,,,,-0.00326529,3.19179,0
159467 (2000 QK25),20159467.0,1,0,1.81,0.283,6.14,1.3,2.32,889.0,0.405,106.0,18.34,,,3.0,-0.00107151,3.18877,1
162080 (1998 DG16),20162080.0,1,0,0.897,0.358,16.2,0.576,1.22,310.0,1.16,68.1,19.95,0.777,0.035,,-0.00290572,3.18562,0
(2012 DY32),3599934.0,1,0,1.08,0.166,9.54,0.904,1.26,412.0,0.873,136.0,22.69,,,,-0.00368716,3.1749,1
252558 (2001 WT1),20252558.0,1,0,1.09,0.397,7.16,0.657,1.52,415.0,0.867,189.0,20.37,0.533,0.062,,-0.00299346,3.16357,1
(2013 BO27),3625068.0,1,0,1.16,0.513,3.05,0.565,1.75,456.0,0.789,150.0,24.11,,,,-0.00287374,3.16054,1
(2003 FF5),3151652.0,1,0,1.37,0.304,6.34,0.953,1.79,585.0,0.615,15.8,23.3,,,,-0.01227,3.15614,1
(2018 RV3),3827426.0,1,0,1.6,0.359,17.7,1.02,2.17,737.0,0.488,183.0,23.03,,,,-0.0204928,3.1531,0
(2017 TJ1),3782065.0,1,0,1.21,0.179,10.4,0.992,1.42,485.0,0.742,209.0,20.7,,,,-0.00122743,3.14383,0
5604 (1992 FE),20005604.0,1,1,0.93,0.406,4.7,0.552,1.31,328.0,1.1,350.0,17.38,0.55,0.48,5.3375,-0.0272391,3.1348,0
482798 (2013 QK48),20482798.0,1,1,1.59,0.83,19.0,0.27,2.9,729.0,0.494,107.0,18.35,,,,-0.00731267,3.13247,1
(2011 CE50),3557530.0,1,0,1.01,0.188,14.9,0.821,1.2,371.0,0.97,64.4,23.14,,,,-0.0101895,3.13234,0
257838 (2000 JQ66),20257838.0,1,0,2.17,0.42,7.06,1.26,3.07,1160.0,0.309,339.0,18.0,,,11.094,0.00450974,3.12652,1
678964 (2018 CC14),20678964.0,1,0,2.08,0.546,5.89,0.945,3.22,1100.0,0.328,199.0,22.4,,,,-0.00158786,3.11832,0
11066 Sigurd (1992 CC1),20011066.0,1,0,1.39,0.375,36.9,0.869,1.91,600.0,0.6,315.0,15.17,2.104,0.19,8.4958,-0.00410334,3.11437,0
410088 (2007 EJ),20410088.0,1,0,2.5,0.629,8.32,0.927,4.07,1440.0,0.249,276.0,18.2,1.032,0.095,4.5569,0.00324015,3.10715,1
(2015 TW178),3730328.0,1,0,1.76,0.32,9.51,1.2,2.32,852.0,0.423,107.0,21.12,,,,-0.00211431,3.10409,1
189700 (2001 TA45),20189700.0,1,0,1.46,0.191,10.7,1.18,1.74,646.0,0.557,269.0,19.15,,,5.0,0.00179347,3.10166,1
152742 (1998 XE12),20152742.0,1,0,0.878,0.739,13.4,0.229,1.53,301.0,1.2,16.5,19.1,0.413,0.264,,-0.0198012,3.09956,0
469356 (2001 DR8),20469356.0,1,0,1.93,0.672,6.56,0.632,3.22,976.0,0.369,149.0,18.76,,,,-0.000231352,3.09498,1
1221 Amor (1932 EA1),20001221.0,1,0,1.92,0.435,11.9,1.09,2.75,972.0,0.371,59.9,17.37,1.0,,,-0.000691622,3.09221,1
162181 (1999 LF6),20162181.0,1,0,1.41,0.281,18.9,1.01,1.81,611.0,0.589,237.0,18.2,0.729,0.175,37.26,-0.0032219,3.08775,1
249615 (1999 TB5),20249615.0,1,0,1.97,0.394,30.4,1.19,2.74,1010.0,0.357,142.0,19.05,,,,0.00558536,3.08685,1
513312 (2007 DM41),20513312.0,1,1,1.18,0.528,2.26,0.558,1.8,469.0,0.768,159.0,22.06,,,,-0.0190548,3.08614,0
(2021 WC8),54239534.0,1,1,2.62,0.701,17.7,0.783,4.45,1550.0,0.233,312.0,19.81,,,,-0.00226359,3.07823,1
171819 (2001 FZ6),20171819.0,1,0,1.5,0.167,9.95,1.25,1.74,668.0,0.539,45.2,18.38,,,15.24,-0.00177557,3.07685,1
189011 Ogmios (1997 NJ6),20189011.0,1,0,1.5,0.232,18.7,1.15,1.85,671.0,0.536,71.4,19.08,,,,0.00222544,3.07265,0
339492 (2005 GQ21),20339492.0,1,0,1.43,0.215,47.0,1.12,1.73,622.0,0.579,275.0,18.39,,,,-0.0488035,3.06742,0
828534 (2004 TG10),20828534.0,1,1,2.24,0.861,4.19,0.311,4.16,1220.0,0.295,83.4,19.47,1.316,0.018,,-0.00264863,3.06588,1
523605 (2004 RX10),20523605.0,1,0,0.92,0.351,5.96,0.597,1.24,322.0,1.12,223.0,21.49,,,,-0.00724819,3.05265,0
322763 (2001 FA7),20322763.0,1,0,2.01,0.536,22.8,0.931,3.08,1040.0,0.347,306.0,17.21,1.252,0.196,,0.00629294,3.04639,1
(2006 TD),3347502.0,1,0,1.59,0.395,8.19,0.965,2.22,735.0,0.49,205.0,22.4,,,,0.00355603,3.04354,0
(2011 XC),3590075.0,1,0,1.26,0.134,21.6,1.09,1.42,514.0,0.7,274.0,20.98,,,,-0.00806162,3.04255,0
(2021 SP4),54202335.0,1,1,1.47,0.405,9.92,0.873,2.06,649.0,0.554,53.6,20.96,,,,-0.00400236,3.03167,1
625646 (2006 GX2),20625646.0,1,0,1.76,0.545,8.23,0.799,2.72,851.0,0.423,175.0,20.71,,,,-0.00364848,3.02712,0
(2015 XW261),3736516.0,1,0,1.25,0.467,29.7,0.666,1.83,510.0,0.706,342.0,21.39,,,19.67,-0.0108291,3.0233,1
(2017 US4),3788008.0,1,0,1.4,0.217,9.7,1.1,1.71,608.0,0.592,191.0,21.51,,,,-0.0539077,3.02083,0
(2006 WF129),3361625.0,1,0,2.64,0.532,22.1,1.24,4.05,1570.0,0.229,162.0,19.13,,,,-0.00426075,3.01968,1
(2003 TG2),3160853.0,1,0,0.908,0.316,25.5,0.621,1.19,316.0,1.14,10.0,21.36,,,,0.00371153,3.0182,1
(2005 NE21),3283679.0,1,0,0.789,0.496,10.6,0.397,1.18,256.0,1.41,171.0,21.24,,,,0.000907134,3.01645,1
152664 (1998 FW4),20152664.0,1,1,2.52,0.714,3.41,0.721,4.32,1460.0,0.246,2.25,19.7,,,17.38,0.00114271,3.01305,1
7336 Saunders (1989 RS1),20007336.0,1,0,2.31,0.482,7.2,1.19,3.42,1280.0,0.282,118.0,18.8,,,4.307,0.630594,3.00859,0
162416 (2000 EH26),20162416.0,1,1,1.85,0.478,0.402,0.968,2.74,922.0,0.39,40.0,21.67,,,24.0,0.0325665,3.00081,0
